Strategy	Polynomial	Period Length
JPA*	2	11
JPA*	4	9
JPA*	7	63
JPA*	9	17
JPA*	11	65
JPA*	21	177
JPA*	42	27
JPA*	65	17
JPA*	66	53
JPA*	217	17
JPA*	219	53
JPA*	513	17
JPA*	514	53
JPA*	516	53
